accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,label
4.251,1.24395,36.71205,16.76475,26.28945,48.42711,fall
-4.58295,-3.07695,7.36005,216.47635,-58.8972,31.83568,fall
-1.8,-2.61495,-6.36,18.09616,-19.69543,-8.13027,fall
-1.73295,-0.81495,-0.798,-164.81131,36.86196,-16.46537,fall
-6.52695,-3.56805,20.45505,-168.03349,46.17395,-25.9822,fall
5.832,-5.60805,31.236,-0.9375,-5.20747,-7.84666,fall
-1.269,-3.867,17.742,41.41554,-25.86403,87.06953,fall
-0.58695,-9.81705,17.47605,291.38199,-195.74887,-248.15446,fall
3.08295,-9.855,-24.86805,234.88763,-51.83048,-6.72796,fall
14.91105,-5.871,39.01005,-400.21103,-256.43442,45.07101,fall
0.64605,-14.24595,-22.57695,-264.61984,-102.65255,88.68456,fall
6.219,-13.13805,60.09405,-275.33417,-58.9681,53.68185,fall
11.844,-20.01405,16.22205,430.04565,109.51443,-10.15496,fall
1.07895,-7.21005,-15.99705,135.07121,18.10403,13.99163,fall
4.01895,-0.894,-5.352,20.05782,-11.51001,-23.11455,fall
15.47805,-21.83205,-4.22205,268.20441,261.90976,-169.7588,fall
7.881,1.62195,-10.239,-21.45226,-48.4665,-10.30465,fall
0.49695,-0.084,8.03295,-186.37386,-64.78219,-38.23276,fall
-0.83595,0.34305,1.07295,26.14764,16.3472,-35.08149,fall
-1.14,1.62405,-0.276,-21.45226,6.54676,2.78887,fall
2.19,0.64695,16.56405,-123.37214,-141.98825,-3.44276,fall
1.50495,1.02105,14.172,110.3574,15.64604,4.88447,fall
0.612,1.24605,0.01005,-55.39929,37.56311,26.02947,fall
7.182,4.78695,18.561,-92.5685,-86.26596,12.3766,fall
0.72495,-0.891,-1.77105,-40.56469,64.23071,-26.9591,fall
-0.99105,-0.621,3.015,-60.92976,-50.35726,14.68491,fall
-1.70505,-0.90795,9.68505,-6.9643,-42.51848,25.1156,fall
2.175,-0.56295,10.55205,-129.46196,-89.07059,-6.86976,fall
1.452,1.56,9.07005,-84.45398,-9.54834,-6.38132,fall
-1.67595,6.57105,3.795,27.05363,34.82939,6.42859,fall
0.04905,4.05405,8.79195,-3.60032,9.5641,4.39602,fall
-3.18195,4.24605,7.40595,1.64654,-4.37238,-0.3624,fall
-0.73005,2.127,-4.392,46.16608,103.29068,19.86874,fall
6.95895,-1.12605,-7.55295,3.39549,198.00203,16.15812,fall
24.23895,1.65495,-8.19705,-94.11262,120.29964,-73.30637,fall
3.53805,3.039,3.249,46.65452,-66.66507,37.15345,fall
-1.092,-2.04,4.305,-97.82323,-30.89818,-58.5348,fall
8.571,-4.296,8.05905,-52.74435,-225.07143,-70.78535,fall
-6.579,0.37905,21.52305,-224.37814,-232.28783,377.00192,fall
2.547,3.14205,4.06305,-68.56371,-119.80332,-57.89666,fall
1.89105,-0.43605,4.64805,-18.44279,-131.35272,-30.59881,fall
12.31305,-2.16495,5.90895,-44.0626,-148.85013,-163.8029,fall
-1.233,1.36605,17.66805,72.90458,-122.45827,9.86347,fall
3.84405,2.283,-2.079,-32.15869,-160.39954,-92.05641,fall
1.929,2.69895,-0.576,-35.94021,-172.57918,-52.29529,fall
14.15205,-2.979,-15.006,-180.21313,45.39402,-101.99866,fall
-2.44695,6.717,6.07005,2.69433,7.80727,5.6644,fall
1.44795,1.5,4.815,-93.8999,-121.19776,-19.46696,fall
